Date,Open,High,Low,Close,Adj Close,Volume
2020-09-17,31.809999,32.290001,31.700001,32.150002,28.051008,10209500
2020-09-18,31.950001,32.020000,31.150000,31.340000,27.344276,15967500
2020-09-21,30.709999,31.129999,30.410000,30.879999,26.942928,13418000
2020-09-22,30.850000,31.680000,30.680000,30.820000,26.890579,10734300
2020-09-23,30.850000,30.940001,30.070000,30.180000,26.332170,12768300
2020-09-24,30.180000,30.900000,29.910000,30.420000,26.541578,15943300
2020-09-25,30.240000,30.480000,29.969999,30.299999,26.436878,9350100
2020-09-28,30.700001,31.770000,30.120001,30.510000,26.620100,30583200
2020-09-29,30.459999,30.680000,29.750000,29.760000,25.965723,18462900
2020-09-30,29.990000,30.110001,29.469999,29.620001,25.843575,14197000
2020-10-01,29.820000,29.900000,29.160000,29.790001,25.991894,12008700
2020-10-02,29.410000,30.740000,29.309999,29.709999,25.922096,16976600
2020-10-05,29.900000,30.379999,29.340000,30.230000,26.375799,12546800
2020-10-06,30.510000,30.799999,29.879999,30.030001,26.201298,10742500
2020-10-07,30.200001,30.440001,29.730000,29.809999,26.009348,12409900
2020-10-08,29.910000,31.490000,29.650000,31.250000,27.265751,18198100
2020-10-09,31.110001,31.670000,30.629999,31.040001,27.082529,13876600
2020-10-13,31.080000,31.430000,30.680000,31.049999,27.091255,10799300
2020-10-14,31.110001,31.530001,30.850000,30.850000,26.916752,10373800
2020-10-15,30.450001,31.440001,30.219999,31.059999,27.099977,12754200
2020-10-16,30.910000,31.020000,30.250000,30.270000,26.410698,12579700
2020-10-19,30.420000,31.170000,30.309999,30.600000,26.698626,15590100
2020-10-20,30.920000,32.040001,30.920000,32.009998,27.928854,21592700
2020-10-21,31.940001,32.470001,31.799999,32.250000,28.138260,16204800
2020-10-22,32.110001,33.680000,32.049999,33.650002,29.359770,30028100
2020-10-23,33.669998,34.290001,33.330002,33.529999,29.255062,19088500
2020-10-26,33.340000,33.830002,32.860001,33.500000,29.228888,14370500
2020-10-27,33.790001,34.099998,32.540001,32.779999,28.600687,15328900
2020-10-28,31.950001,32.040001,31.100000,31.139999,27.169777,15388500
2020-10-29,31.120001,31.299999,30.040001,30.959999,27.012726,19448700
2020-10-30,30.690001,30.870001,29.610001,29.799999,26.000620,21981900
2020-11-03,30.420000,30.760000,29.900000,30.100000,26.262377,17154400
2020-11-04,30.410000,30.850000,30.070000,30.320000,26.454325,13726100
2020-11-05,30.650000,31.129999,30.440001,30.690001,26.777149,18692500
2020-11-06,30.500000,30.660000,30.180000,30.490000,26.602654,12861600
2020-11-09,32.130001,32.959999,32.000000,32.700001,28.530886,33781000
2020-11-10,32.770000,34.820000,32.730000,34.369999,29.987967,42044300
2020-11-11,34.330002,34.770000,33.360001,34.160000,29.804735,27125800
2020-11-12,33.990002,34.130001,32.380001,32.730000,28.557060,24995400
2020-11-13,32.990002,33.169998,32.400002,33.049999,28.836260,17339500
2020-11-16,33.560001,34.250000,33.450001,33.900002,29.577888,23210900
2020-11-17,33.619999,34.410000,33.400002,34.200001,30.012075,18689500
2020-11-18,34.070000,34.650002,33.779999,34.279999,30.082281,20020100
2020-11-19,34.200001,35.099998,33.990002,34.619999,30.380640,21003100
2020-11-23,34.560001,35.070000,34.310001,34.520000,30.292894,17514500
2020-11-24,34.740002,36.060001,34.740002,35.439999,31.100227,22541800
2020-11-25,35.400002,35.630001,34.650002,35.340000,31.012476,13708100
2020-11-26,35.070000,35.189999,34.410000,34.779999,30.521048,9168500
2020-11-27,34.889999,35.310001,34.500000,34.610001,30.371874,9632200
2020-11-30,34.500000,34.580002,33.750000,33.860001,29.713709,19409500
2020-12-01,34.529999,35.369999,34.340000,34.790001,30.529831,19383800
2020-12-02,34.790001,35.330002,34.549999,34.939999,30.661455,12292600
2020-12-03,34.990002,35.880001,34.880001,35.240002,30.924723,21574900
2020-12-04,35.599998,35.980000,35.220001,35.980000,31.574106,14127700
2020-12-07,35.810001,37.270000,35.610001,36.150002,31.723289,23995800
2020-12-08,36.520000,37.580002,36.060001,36.459999,31.995333,18974300
2020-12-09,36.619999,36.900002,35.939999,35.959999,31.556555,12855300
2020-12-10,36.250000,38.000000,36.230000,37.830002,33.197571,26352300
2020-12-11,37.400002,38.730000,37.169998,38.490002,33.776752,24970200
2020-12-14,38.590000,39.330002,38.400002,38.500000,33.888527,24822600
2020-12-15,38.500000,39.500000,38.500000,38.990002,34.319836,15248300
2020-12-16,39.220001,39.790001,38.240002,39.349998,34.636707,26509000
2020-12-17,39.369999,39.770000,38.910000,39.389999,34.671921,11508700
2020-12-18,39.290001,39.630001,38.900002,39.099998,34.416653,12473800
2020-12-21,38.110001,38.480000,37.669998,37.790001,33.263569,18718600
2020-12-22,38.139999,38.860001,38.000000,38.290001,33.703671,10770400
2020-12-23,38.570000,39.180000,38.270000,38.919998,34.258217,9176300
2020-12-28,39.320000,39.549999,39.200001,39.349998,34.636707,7577200
2020-12-29,39.500000,39.599998,38.950001,39.119999,34.434254,7301400
2020-12-30,39.279999,39.349998,38.660000,38.799999,34.152588,8594000
2021-01-04,39.230000,39.290001,37.500000,37.590000,33.087528,13874600
2021-01-05,37.450001,37.450001,36.700001,37.200001,32.744232,15954000
2021-01-06,37.529999,38.730000,37.380001,38.049999,33.492432,20566700
2021-01-07,38.119999,39.700001,37.919998,39.560001,34.821564,21878700
2021-01-08,39.849998,40.560001,39.290001,39.790001,35.024014,16240300
2021-01-11,39.549999,39.900002,38.799999,39.139999,34.451870,16880700
2021-01-12,39.660000,39.790001,38.889999,39.500000,34.768749,15519000
2021-01-13,39.500000,39.700001,37.240002,37.549999,33.052319,34866200
2021-01-14,37.759998,38.150002,36.840000,37.459999,32.973091,39535200
2021-01-15,37.200001,37.450001,36.299999,36.299999,31.952040,29147400
2021-01-18,36.660000,37.029999,35.810001,35.930000,31.626360,23849800
2021-01-19,36.299999,36.330002,35.040001,35.320000,31.089417,19512600
2021-01-20,35.490002,35.580002,34.509998,34.529999,30.394047,22693600
2021-01-21,34.549999,34.810001,33.730000,34.180000,30.085966,23303500
2021-01-22,33.619999,33.820000,33.240002,33.689999,29.654655,20405700
2021-01-26,33.959999,34.240002,32.610001,32.790001,28.862463,26922300
2021-01-27,32.730000,34.029999,32.520000,33.750000,29.707472,25080200
2021-01-28,33.570000,34.950001,33.480000,34.540001,30.402847,20932100
2021-01-29,34.099998,34.669998,33.650002,33.860001,29.804295,17492800
2021-02-01,34.320000,34.500000,33.830002,34.290001,30.182791,16762600
2021-02-02,34.759998,35.099998,33.840000,34.060001,29.980343,19800900
2021-02-03,34.299999,34.740002,34.180000,34.330002,30.218004,10473000
2021-02-04,34.599998,34.720001,34.020000,34.189999,30.094769,10074200
2021-02-05,34.279999,34.480000,33.799999,33.959999,29.892317,12743600
2021-02-08,33.939999,34.250000,33.599998,33.869999,29.813101,11651600
2021-02-09,33.770000,34.500000,33.650002,34.279999,30.173988,15307000
2021-02-10,34.279999,34.480000,33.750000,33.810001,29.760286,14228800
2021-02-11,34.000000,34.360001,33.759998,33.939999,29.874714,9944000
2021-02-12,33.759998,34.139999,33.200001,33.750000,29.707472,17673000
2021-02-17,33.689999,33.830002,33.330002,33.360001,29.364187,13571900
2021-02-18,33.360001,33.630001,33.029999,33.259998,29.276157,17165700
2021-02-19,33.119999,33.410000,32.529999,32.630001,28.721628,27407500
2021-02-22,29.500000,29.860001,28.559999,28.830000,25.376780,102036100
2021-02-23,29.600000,30.780001,29.520000,30.430000,27.196304,47768000
