Date,Open,High,Low,Close,Adj Close,Volume
2020-09-17,99674.000000,100251.000000,98562.000000,100098.000000,100098.000000,0
2020-09-18,100098.000000,100102.000000,98045.000000,98290.000000,98290.000000,11370300
2020-09-21,98283.000000,98283.000000,95820.000000,96991.000000,96991.000000,9738000
2020-09-22,96995.000000,97684.000000,96390.000000,97294.000000,97294.000000,7281300
2020-09-23,97294.000000,97389.000000,95728.000000,95735.000000,95735.000000,8830700
2020-09-24,95735.000000,97955.000000,95653.000000,97012.000000,97012.000000,9331000
2020-09-25,97011.000000,97012.000000,95632.000000,96999.000000,96999.000000,7351100
2020-09-28,97005.000000,98314.000000,94371.000000,94666.000000,94666.000000,10508900
2020-09-29,94665.000000,95505.000000,93408.000000,93580.000000,93580.000000,8737200
2020-09-30,93586.000000,95340.000000,93584.000000,94603.000000,94603.000000,9454300
2020-10-01,94604.000000,95486.000000,93599.000000,95479.000000,95479.000000,9243500
2020-10-02,95475.000000,95996.000000,93897.000000,94016.000000,94016.000000,8584900
2020-10-05,94019.000000,96414.000000,93984.000000,96089.000000,96089.000000,8616000
2020-10-06,96091.000000,97405.000000,95211.000000,95615.000000,95615.000000,11299600
2020-10-07,95616.000000,96380.000000,94881.000000,95526.000000,95526.000000,9829900
2020-10-08,95530.000000,97938.000000,95530.000000,97920.000000,97920.000000,11163600
2020-10-09,97924.000000,98642.000000,97161.000000,97483.000000,97483.000000,10810500
2020-10-13,97483.000000,98998.000000,97336.000000,98503.000000,98503.000000,7867500
2020-10-14,98502.000000,99571.000000,98501.000000,99334.000000,99334.000000,8891000
2020-10-15,99328.000000,99486.000000,97778.000000,99054.000000,99054.000000,8335200
2020-10-16,99054.000000,99172.000000,98309.000000,98309.000000,98309.000000,7840200
2020-10-19,98310.000000,99917.000000,98310.000000,98658.000000,98658.000000,9929400
2020-10-20,98664.000000,100722.000000,98664.000000,100540.000000,100540.000000,8796000
2020-10-21,100541.000000,101586.000000,100149.000000,100552.000000,100552.000000,8661100
2020-10-22,100553.000000,102020.000000,100457.000000,101918.000000,101918.000000,9556900
2020-10-23,101918.000000,102218.000000,101188.000000,101260.000000,101260.000000,7561100
2020-10-26,101260.000000,101784.000000,99762.000000,101017.000000,101017.000000,8070400
2020-10-27,101017.000000,101660.000000,99414.000000,99606.000000,99606.000000,8672300
2020-10-28,99598.000000,99598.000000,95369.000000,95369.000000,95369.000000,11051600
2020-10-29,95368.000000,96688.000000,93387.000000,96582.000000,96582.000000,12704400
2020-10-30,96579.000000,96579.000000,93559.000000,93952.000000,93952.000000,10643200
2020-11-03,93968.000000,96250.000000,93968.000000,95587.000000,95587.000000,10191800
2020-11-04,95992.000000,98296.000000,95987.000000,97811.000000,97811.000000,10704600
2020-11-05,97873.000000,100922.000000,97872.000000,100774.000000,100774.000000,10455300
2020-11-06,100751.000000,100928.000000,99837.000000,100799.000000,100799.000000,8382800
2020-11-09,100954.000000,105147.000000,100954.000000,103913.000000,103913.000000,17410500
2020-11-10,103516.000000,105758.000000,103453.000000,105351.000000,105351.000000,16665200
2020-11-11,105067.000000,105462.000000,104143.000000,104532.000000,104532.000000,10841000
2020-11-12,104810.000000,105019.000000,102034.000000,102175.000000,102175.000000,10860300
2020-11-13,102509.000000,104707.000000,102509.000000,104512.000000,104512.000000,9772100
2020-11-16,104729.000000,106518.000000,104729.000000,106430.000000,106430.000000,11724300
2020-11-17,106430.000000,107810.000000,105847.000000,107229.000000,107229.000000,10311000
